"bwPf","bwPm","bwf","bwm","bwCFf","bwCFm"
0.496914778486027,0.376907194068534,0.442460762836024,0.261743706143797,0.00415253047044478,0.0050286208974295
0.176873203680806,0.0680566180762603,0.0755421982442244,0.0620471187024067,0.0546406621316976,0.0685875630304731
0.225488716813485,0.19744590903531,0.00903147714513393,0.0185712297457555,0.0051279563499911,0.00635125530970131
0.0814236392109933,0.140401253322543,0.760723532086256,0.739587013965121,0.612246954153912,0.63465602512293
0.805535688599837,0.791707889796549,0.312831104765458,0.443986258548911,0.499999307157342,0.432736583131021
0.491382865666301,0.419273021489799,0.499999617455446,0.458431688179005,0.36483073332048,0.383145079415308
0.357836982490776,0.43271713675601,0.370700656157404,0.465613672565689,0.451532130168399,0.42038095925111
0.464194269451643,0.469756909390301,0.493343992782116,0.468557769844347,0.411139674223014,0.393617882293063
0.228493110467795,0.325831632047121,0.49999955796793,0.485431119304817,0.354407404009867,0.311050616722164
0.292859933420211,0.231060931278002,0.346203513817464,0.476360824808417,0.291714356858717,0.499999583028486
0.255809276872974,0.420478598530858,0.0683415305213183,0.164844000502429,0.469098846335795,0.363232092590372
0.491297356826289,0.337493609830589,0.27581944505999,0.182207866398517,0.456540736235815,0.0434773564896461
0.322812402342289,0.159372530652858,0.404462458286981,0.369484490846312,0.332870626079702,0.499999273298349
0.311482810430277,0.499999276684122,0.226961867446575,0.499999566693023,0.494137397862296,0.49999947527928
0.395501649255645,0.450133689658055,0.481694536075554,0.499999589091134,0.499999442315176,0.452588724593476
0.423968603649322,0.375762918264671,0.499999512369732,0.498409374596344,0.000614519771679049,0.629945481036077
0.107097538943105,0.437175092613341,0.499999427192808,0.499999476013775,0.021060426264582,0.499999502339175
0.360396513360462,0.309852461926836,0.499999842206633,0.662624753219375,0.00312715552487442,0.609118871480017
0.263458340900848,0.49999986513965,0.488540639357921,0.726383524917337,0.0092033390672883,0.509525597742438
0.437810353518036,0.348031269468492,0.325100399347079,0.749999142306667,0.0946849070580116,0.487472570983875
0.410031295543455,0.370180906324812,0.499999577752137,0.499999366616622,0.482529294739225,0.407068818341601
0.446101169945757,0.343853677422855,0.486768072751883,0.499999691325456,0.499999513619915,0.382881201839435
0.494626241007608,0.324533162383691,0.486414215306793,0.458537514999962,0.355700675071098,0.462249236830708
0.438474947754686,0.489303955480541,NA,NA,NA,NA
